FECHA_CREACION,NUMERO_PQR,descripcion,clasificacion
2023-01-24 09:39:20,MDM-PQR-36526847,requerir facturacion,0
2023-01-28 10:11:27,MDM-PQR-36651583,validar factura,1
2022-12-21 13:02:27,MDM-PQR-35812296,querer saber llego cara factura,1
2023-01-16 09:47:48,MDM-PQR-36332836,querer saber aumento factura,1
2023-01-04 07:24:17,MDM-PQR-36077647,subio tarifa recibo,1
2022-12-06 21:22:05,MDM-PQR-35553663,solicitar factura pago,0
2023-02-02 18:15:51,MDM-PQR-36809536,requerir factura,0
2022-12-06 13:50:31,MDM-PQR-35542652,factura,0
2023-01-24 16:11:35,MDM-PQR-36541859,inconfor incremento tarifa cumplido ano,1
2023-02-01 16:13:40,MDM-PQR-36767744,paso esperar descontar tiempo siguiente factura,1
2023-02-07 16:56:06,MDM-PQR-36931728,,1
2023-02-02 13:04:46,MDM-PQR-36795783,queire validar factura cobrar mas costo valido recibo fracturado indico envio copia,0
2023-02-17 07:46:09,MDM-PQR-37144010,informacion facturacion incremento,0
2023-01-19 12:20:57,MDM-PQR-36418250,solicitar informacion factura cobro descuento finalizacion,1
2022-12-16 13:40:38,MDM-PQR-35725467,dirio contrato indicar tenia gratis promocion ahora suspendido,1
2022-12-01 10:38:41,MDM-PQR-35431211,buen querer factura pagar querer confirmar pagar creer subio agradecer tiempo validado registrar descuento quedar pendiente factura caso registrar corresponder incremento anual,0
2023-02-04 13:50:22,MDM-PQR-36858010,desear saldar precio,0
2023-01-04 08:30:48,MDM-PQR-36079381,desear conocer facturar duir m hoy v directv basico tv winsportsports,0
2022-12-27 11:56:31,MDM-PQR-35909059,perdono facturacion,0
2023-02-07 09:11:55,MDM-PQR-36914661,solicitar cancelacion generar retirar incremento ley cun,1
2023-02-16 17:13:13,MDM-PQR-37137658,dar descuento factura cumplio,0
2023-02-24 11:05:24,MDM-PQR-37309095,indicar estar generar cobro sevicio directv valido hundir sva directv factura cobro sva,0
2023-02-06 10:40:53,MDM-PQR-36887194,ingresar plataforma hbo permitir,1
2023-01-20 08:45:42,MDM-PQR-36435405,factura aumentar,1
2022-12-06 09:42:56,MDM-PQR-35533791,llego factura estar cobrar anterior,1
2023-02-06 16:23:28,MDM-PQR-36900797,envio factura,0
2023-02-22 10:14:03,MDM-PQR-37255275,chato concepto facturar,0
2023-02-04 10:48:40,MDM-PQR-36853062,concepto facturar,0
2023-02-07 16:06:20,MDM-PQR-36929947,factura,1
2023-02-13 10:56:36,MDM-PQR-37049719,confirmar aumento factura,1
2023-02-24 17:36:04,MDM-PQR-37321878,bajo indicado brindar beneficio indicar acercar ajustar factura,0
2022-12-29 17:25:43,MDM-PQR-35969259,apra saber factura,1
2023-02-11 11:25:23,MDM-PQR-37024559,saber factura,1
2023-02-28 10:33:36,MDM-PQR-37385652,querer saber pc,0
2023-01-21 07:40:16,MDM-PQR-36458653,solicitar validacion factura,0
2023-01-06 14:54:18,MDM-PQR-36154557,solicitar informacion incremento factura,0
2023-01-03 09:36:12,MDM-PQR-36050324,desear validar descuento deber debitir automatico,1
2022-12-18 14:00:35,MDM-PQR-35750635,validacion factura,0
2023-01-21 11:23:07,MDM-PQR-36464687,solicitar informacion factura aumento,0
2023-01-16 15:28:59,MDM-PQR-36345464,solicitar validar incremento factura,1
2022-12-29 13:59:00,MDM-PQR-35964011,solicitar informacion factura,1
2022-12-09 10:50:16,MDM-PQR-35586625,solicitar informacion incremento anual,0
2023-01-09 09:00:00,MDM-PQR-36185071,desear informacion factura incremento mil peso,1
2023-02-09 10:29:15,MDM-PQR-36972585,solicitar traslado h d at,0
2022-12-28 16:31:17,MDM-PQR-35942748,validar concepto facturar,1
2023-01-25 13:57:39,MDM-PQR-36564854,confirmar aumento factura,0
2023-02-25 11:25:31,MDM-PQR-37332064,informacion factura v,1
2023-01-04 11:30:49,MDM-PQR-36087330,reporto debia pagar,1
2023-01-04 14:31:40,MDM-PQR-36093984,indicar revocacion pago,1
2023-02-23 11:25:30,MDM-PQR-37285261,solicitar validar concepto facturar poder ingresar directv televisor,1
2023-02-24 20:39:32,MDM-PQR-37324919,sincronizo solicitar cancelacion sva hbo pack paramount politico producto poder ingresar cancelacion mismo asesor dar prioridad retirar hbo pack completo sincronizado posterior ingreso retirar paramount completo sincronizado obstante realacer cobro concepto asesoramiento valido ajuste asesor ajustar tambien concepto hbo go suscripcion penalizar ajuste evidenciar solicitud retirar sva embargo dejar caso seguimiento validar si deber retirar penalizacion ajuste ajustado front incluido ajuste incluido diferencia ajustado,0
2022-12-06 12:58:27,MDM-PQR-35540990,desear verificar factura,1
2023-01-30 14:41:21,MDM-PQR-36698778,incrementado factura,1
2023-02-10 08:13:21,MDM-PQR-36994273,validar factura llego pasado generar pago,0
2023-02-07 15:31:21,MDM-PQR-36928686,informacion factura,0
2023-01-30 10:47:38,MDM-PQR-36687600,informacion factura,1
2022-12-10 17:47:24,MDM-PQR-35615367,solicitar envio factura,1
2022-12-02 18:54:31,MDM-PQR-35471646,desear hacer validacion deuda debido estar llamar cobrar,0
2023-01-26 19:22:45,MDM-PQR-36609405,retirar sva,1
2023-02-18 13:10:45,MDM-PQR-37174669,indicar factura llego mas elevado normal adicional dar activo reconocer,0
2022-12-10 15:30:29,MDM-PQR-35613583,ver si pagar ultimo factura,0
2022-12-28 08:38:18,MDM-PQR-35927603,concepto facturar,1
2022-12-03 11:35:35,MDM-PQR-35480721,comunico solicitar informacion facturacion,1
2023-01-05 16:15:17,MDM-PQR-36130489,realizar titularidad informar saldo factura corresponder,1
2023-02-09 11:47:04,MDM-PQR-36975599,incremento factura,0
2023-01-25 11:55:36,MDM-PQR-36559800,confirmar concepto facturar,0
2022-12-19 13:56:41,MDM-PQR-35766029,informacion pago factura,1
2022-12-06 10:14:53,MDM-PQR-35534938,informacion,0
2022-12-19 16:33:21,MDM-PQR-35770562,incremento corresponder solicitar informacion,0
2023-02-08 13:28:08,MDM-PQR-36952176,solicitar informacion facturacion,1
2023-01-20 12:54:59,MDM-PQR-36442828,hacer ano hacer suplantacion,0
2023-02-22 10:37:23,MDM-PQR-37256367,solicitar informacion concepto factura,0
2022-12-16 10:48:25,MDM-PQR-35721078,informacion fac,0
2023-01-19 13:37:55,MDM-PQR-36421063,llego embargo,0
2022-12-01 20:10:03,MDM-PQR-35448689,solicitar cancelacion indicado llego factura,1
2023-02-28 16:53:26,MDM-PQR-37398375,cancelar ir,1
2023-02-07 23:28:25,MDM-PQR-36939031,lunar lunar telefono dirar descripcion hacer cancelo hbo llego factura mas,0
2023-01-18 14:59:50,MDM-PQR-36397367,lema boya concepto facturar,1
2023-02-27 13:22:12,MDM-PQR-37364690,nom person macho abuelo movil asunto facturacion,0
2023-01-21 07:44:02,MDM-PQR-36458708,solicitar incremento factura genero cobro ex mas out directv winsport,1
2023-02-27 17:47:14,MDM-PQR-37374069,solicitar ajuste factura queja relacionado solicitar grabacion llamado embargo si lograr evidenciar diar solicitar retirar hbo acuerdo anterior promedio ajustar factura incluido asesoramiento cerrar caso gestionado escrito deber garantizar cerrar ciclo justificacion penalizacion ajustado front incluido ajuste incluido diferencia ajuste correcto,0
2022-12-22 15:35:16,MDM-PQR-35836803,trasladar,1
2023-01-23 19:41:41,MDM-PQR-36517553,informar ir pagar querer saber cuanto tiempo actuar,0
2023-01-31 17:25:45,MDM-PQR-36738863,cobro elevado factura,1
2022-12-11 17:44:29,MDM-PQR-35623013,consulta factura,1
2023-02-22 09:23:02,MDM-PQR-37253119,solicitar ajuste factura bajo solicitar traslado tras asesoramiento cerrar caso poner evidenciar traslado tras paso duir m trio m hoy bronze like simetrico v tv activo diar clausular permanencia vencer diar justificacion penalizacion ajuste ajustado front incluido ajuste incluido diferencia ajuste incorrecto ajuste aplicar penalizar asesor encanto traslado paso duir trio cobro clausular permanencia tv,0
2023-02-17 13:02:38,MDM-PQR-37153555,especial yesilop ce obducelretbcomco enviar martes m especial especialempleadosetbcomco asunto facturacion buen cordialmente solicitar informacion incremento factura fibra ala agradecer amable colaboracion quedar atento comentario at ce get outlook androidir,1
2023-01-02 12:20:44,MDM-PQR-36026311,aumento factura,1
2023-02-22 16:14:29,MDM-PQR-37269787,rodrigu querer saber estar llegar notificacion pago si pagado,1
2023-02-07 13:41:17,MDM-PQR-36924829,solicitar informacion cobro reconexion brindar informacion solicitar cancelacion adicional cual momento realizar cancelacion permitir ingresar tramitar debido suspendido pago,0
2023-01-18 09:14:27,MDM-PQR-36385322,verificacion pago,1
2023-01-26 10:49:21,MDM-PQR-36588830,solicitar cancelacion,0
2023-02-01 10:46:19,MDM-PQR-36754496,desear cambiar factura,1
2022-12-19 16:15:08,MDM-PQR-35770000,concepto facturar corregir envio d factura,1
2023-02-04 07:37:20,MDM-PQR-36848710,desear confirmar factura incremento,1
2022-12-28 16:06:24,MDM-PQR-35942034,facturacion llego bastante costoso,1
2023-02-04 12:20:10,MDM-PQR-36855670,desear informacionobn factura,0
2023-01-24 09:37:40,MDM-PQR-36526781,concepto facturar,1
2023-02-22 09:04:25,MDM-PQR-37252393,capaz amargo telefono dirar g descripcion llego factura mas plan manejar,0
2022-12-04 10:03:38,MDM-PQR-35492424,salir pago realizado,0
2023-02-04 12:40:57,MDM-PQR-36856246,incremento factura,0
2023-01-23 12:22:29,MDM-PQR-36501125,requerir copia factura,0
2023-02-21 10:10:44,MDM-PQR-37223266,generar cobro reconexion necesitar retiren paso diar fecha limite pago,1
2023-01-24 17:40:49,MDM-PQR-36544676,solicitar informacion factura incremento,1
2022-12-18 17:38:12,MDM-PQR-35752103,especificar condicion plan tambien hacer referencia factura,1
2023-01-22 07:23:49,MDM-PQR-36477750,validacion pago factura,0
2023-02-04 15:20:12,MDM-PQR-36859956,acerca senoro deis solicitar informacion factura llego tanto elevado dar informacion correspondiente acuerdo retirar modulo,1
2022-12-02 13:07:00,MDM-PQR-35463003,informacion factura,1
2022-12-26 10:39:33,MDM-PQR-35879223,solicitar informacion incremento factura,0
2023-01-04 07:48:23,MDM-PQR-36078122,factura llego querer saber,0
2022-12-09 15:36:04,MDM-PQR-35596305,dirar facturacion,1
2023-02-08 11:45:05,MDM-PQR-36948444,cancelar factura llego,0
2023-02-16 12:26:50,MDM-PQR-37128775,solicitar ajuste factura cobro sva hbo paramount solicitar retirar sva completo sincronizo asesoramiento caso cerrar ciclo escala gestor solicitar sincronizar sva inactivo justificacion penalizacion ajuste ajustado front incluido ajuste incluido diferencia ajuste correcto,0
2023-02-20 17:29:25,MDM-PQR-37211749,facturacion,1
2023-02-04 14:05:34,MDM-PQR-36858360,poner dirar erronear pasado llego aje telefonico pasado,0
2022-12-19 14:01:15,MDM-PQR-35766134,inconfor llegar factura aumentar costo,1
2023-02-08 09:21:59,MDM-PQR-36943043,concepto facturar,0
2023-02-21 15:12:11,MDM-PQR-37235863,incremento tarifario plan acto,1
2023-02-14 16:25:43,MDM-PQR-37088265,informacion incremento,1
2023-01-23 21:19:36,MDM-PQR-36519819,indicar tenia suspendido realacer pago,0
2023-01-05 08:10:33,MDM-PQR-36110221,informacion concepto facturar,0
2023-02-13 13:59:06,MDM-PQR-37056724,clienquiere informacion promocion descuento,0
2023-01-24 13:43:19,MDM-PQR-36536704,concepto facturar,1
2022-12-16 16:27:51,MDM-PQR-35729380,informacion pago factura,1
2023-02-11 20:04:20,MDM-PQR-37033802,factura,1
2023-02-22 07:58:37,MDM-PQR-37250280,ordenir solicitud facturacion,1
2023-01-27 15:36:12,MDM-PQR-36636653,concepto facturar,1
2022-12-03 12:50:30,MDM-PQR-35482672,ver reflejado pago,1
2023-01-30 11:15:54,MDM-PQR-36688980,chit d observacion solicitar informacion fact,0
2022-12-29 21:13:41,MDM-PQR-35972960,informacion fecha limite pago,1
2023-02-02 07:55:01,MDM-PQR-36782470,solicitar informacion factura incremento ley,1
2023-01-19 12:13:05,MDM-PQR-36417924,livian alzaste consulta generar factura genero pago diar debido llego acuerdo pago,1
2023-01-04 08:45:23,MDM-PQR-36079920,validar plan mas economico preguntar llegar incremento,0
2022-12-15 16:01:19,MDM-PQR-35709491,factura traer dirar incorrectar,0
2023-01-05 08:43:49,MDM-PQR-36111495,informacion factura,0
2023-02-09 13:40:13,MDM-PQR-36979598,solicitar informacion factura,0
2023-01-26 17:15:53,MDM-PQR-36605513,factura mas entender aceptar incremento realizar generar pago factura,1
2023-02-21 14:18:48,MDM-PQR-37233679,facturacion elevado,1
2022-12-09 11:48:38,MDM-PQR-35588814,desear verificar factura,1
2023-02-10 14:00:10,MDM-PQR-37007923,informacion concepto facturar,0
2023-02-09 08:03:02,MDM-PQR-36967877,solicitar informacion factura,1
2023-02-23 12:08:14,MDM-PQR-37286737,error,1
2023-01-28 07:09:57,MDM-PQR-36647780,solicitar informacion factura,0
2023-02-08 19:52:01,MDM-PQR-36963624,lizarazocliente solicitar ajuste factura solicitar bomar paramount,0
2023-02-14 09:24:04,MDM-PQR-37073791,facturacion llegar inusual mas normal,0
2023-01-20 18:03:49,MDM-PQR-36452156,solicitar informacion factura,0
2023-02-13 14:37:35,MDM-PQR-37058019,querer validar plan mas economico actualmente,1
2023-01-10 16:32:17,MDM-PQR-36214721,hacer cobro contrato ningun momento,0
2023-02-06 14:07:06,MDM-PQR-36895761,desear envie factura,0
2022-12-29 16:11:24,MDM-PQR-35967567,realacer plan factura llegar mas baratar contario llego mas normal,0
2023-01-27 14:19:53,MDM-PQR-36633731,llame decir hibar llegar factura acabar llegar,0
2022-12-27 11:05:20,MDM-PQR-35907268,maniqui desear validar cobro factura valido saw incremento factura,1
2023-02-23 09:07:59,MDM-PQR-37280955,ceder duir m hoy v factura llego llegar concepto paquetir voz television dic dic paquetir voz television enir enir sva ess point wifi dic dic winsportsport online empaquetado dic dic sva ess point wifi enir enir winsportsport online empaquetado enir enir todo embargo sesion informar n retirar concepto winsport decir deberio pagar sinembargo ultimo retencion pm retirar burdel auxiliar hbo paramount hbo paramount nar usar informar retirar paquetir winsport usar,1
2022-12-09 08:38:47,MDM-PQR-35582813,pago llamar por el concepto factura querer envie,1
2023-01-05 16:12:13,MDM-PQR-36130376,manifestar reflejar incremento facturacion,1
2023-01-10 15:24:40,MDM-PQR-36212284,querer saber llego tanto cara factura,1
2023-01-31 22:46:19,MDM-PQR-36745530,validar promocion descuento or cuanto ir revisa th single m hoy v promocion descuento prorrateo promocion descuento prorrateo,0
2023-01-17 15:34:26,MDM-PQR-36373179,zapato girar dirar descripcion llego factura contrato dic intentar pagar dejar pagar factura,0
2023-02-10 11:45:34,MDM-PQR-37002518,informacion factura,0
2023-02-24 16:20:08,MDM-PQR-37319746,validar poder comunicar recoger,0
2023-02-05 04:50:44,MDM-PQR-36867294,factura,1
2023-01-12 15:36:06,MDM-PQR-36270051,chatbotlevi kissed rodriguezinformacionon aumento factura,1
2023-01-20 18:59:30,MDM-PQR-36453271,explicacion factura,1
2023-02-28 14:12:19,MDM-PQR-37393188,factura llegar querer saber,1
2023-02-20 11:51:35,MDM-PQR-37200901,pleito ver reflejado dar operar areir retencion,1
2023-02-21 08:33:14,MDM-PQR-37219586,solicitar informacion,0
2023-01-30 14:49:17,MDM-PQR-36699099,observacion solicitar informacion fact,1
2023-02-18 09:25:36,MDM-PQR-37168548,cajuela regalo dirar descripcion factura llegar siempre diferente,1
2023-01-23 14:55:21,MDM-PQR-36507753,concepto facturar,1
2022-12-11 11:54:11,MDM-PQR-35620210,concepto facturar,0
2023-01-31 14:12:19,MDM-PQR-36731828,informacion,1
2023-01-03 17:44:28,MDM-PQR-36068912,querer validar cobro factura llegar,1
2023-01-19 10:06:29,MDM-PQR-36412996,solicitar informacion factura,0
2022-12-30 09:06:26,MDM-PQR-35979198,gimen dirar descripcion factura llego mas inconfor informacion asesor retencion habia decir quedar plan,1
2022-12-29 11:27:17,MDM-PQR-35959193,avisar figurar dirar et descripcion factura cada llegar mas,1
2022-12-20 14:15:28,MDM-PQR-35790481,solicitar cancelacion telefonico cobro peso integrado dentro mismo plan visualizar error facturacion har ajuste hacer efecto ultimo factura llame realizar ajuste facturacion correspondiente error poseer facturacion,1
2023-01-13 12:26:56,MDM-PQR-36288974,factura llegar aumento,1
2023-02-17 16:26:57,MDM-PQR-37159924,querer saber cobrar mas,1
2023-02-16 15:31:06,MDM-PQR-37134525,,0
2023-02-06 10:17:55,MDM-PQR-36886215,factura,1
2023-02-02 15:59:05,MDM-PQR-36803815,solicitar informacion factura,1
2023-01-19 11:37:18,MDM-PQR-36416597,filmar bermuda gonzalezenvio factura,1
2023-01-27 12:44:17,MDM-PQR-36629527,tomar plan obsequiado sva gratuito embargo factura periodo,0
2022-12-07 11:26:28,MDM-PQR-35561294,indicar llego factura peso querer saber,1
2023-01-05 13:27:45,MDM-PQR-36124465,facturacion,1
2022-12-18 14:38:48,MDM-PQR-35750924,desear validar factura decir llego cara,0
2023-02-13 16:21:51,MDM-PQR-37061776,desear validar aumento factura,0
2022-12-05 17:17:17,MDM-PQR-35520769,solicitar cancelar cobertura dirar indicar generacion cobro cancelacion anticipado,1
2023-02-09 15:21:52,MDM-PQR-36983065,querer,0
2022-12-19 10:46:23,MDM-PQR-35759585,solicitar informacion llego factura si suspendido forma voluntario,0
2023-01-10 17:27:59,MDM-PQR-36216925,realizar queja factura,1
2023-01-17 10:49:25,MDM-PQR-36363193,desear validar factura genero pago,1
2022-12-01 13:06:03,MDM-PQR-35436953,llamado valido elir compemxsdacion realizar periodo siguente periodo generar compensacion,1
2022-12-19 17:59:38,MDM-PQR-35772700,querer saber wue incremento dr ley tanto,0
2023-01-17 20:40:01,MDM-PQR-36380397,factura aumentar,1
2023-01-02 09:08:18,MDM-PQR-36018260,indicar llego factura,1
2023-02-15 08:58:46,MDM-PQR-37097924,confirmar aumento factura,0
2023-01-17 14:56:00,MDM-PQR-36371928,desear conocer motivo ultimo facturacion si cancelo,1
2023-01-16 15:45:51,MDM-PQR-36346078,generar cobro hbo dar beneficio instalacion desactivo genero cobro,0
2023-02-23 12:54:51,MDM-PQR-37288244,desear verificar factura,0
2022-12-12 10:32:32,MDM-PQR-35631566,querer saber incremento factura,1
2022-12-02 14:22:40,MDM-PQR-35465364,validar plan contratar,0
2023-01-27 09:15:44,MDM-PQR-36619264,contacta solicitar compensacion,1
2023-01-24 09:23:17,MDM-PQR-36526168,solicitar hacer dirar recoja,1
2023-01-25 11:49:01,MDM-PQR-36559565,desear saber incremento factura,1
2023-02-01 10:55:22,MDM-PQR-36754871,caballo rodrigu dirar descripcion querer saber factura,0
2023-02-03 13:15:49,MDM-PQR-36831388,solicitar informacion factura,0
2023-02-04 17:18:46,MDM-PQR-36862298,pedir ajuste factura debido oferta retencion brindar,1
2023-02-09 10:22:18,MDM-PQR-36972308,natal oti dirar desear saber llegar factura saber pago,1
2023-01-16 14:29:43,MDM-PQR-36343263,validar concepto facturar,0
2023-01-02 16:54:30,MDM-PQR-36036502,cancelacion,1
2023-02-21 16:50:35,MDM-PQR-37239827,pagar querer cancelar,0
2023-02-16 11:04:38,MDM-PQR-37125744,informacion factura,0
2023-02-21 12:38:16,MDM-PQR-37229778,factura,1
2022-12-29 09:10:01,MDM-PQR-35954345,indicandono comunico semana pasado estrano pago indicar comunicar diar hoy,1
2022-12-29 23:01:02,MDM-PQR-35974367,poder identificar deber lso cobro actual,0
2022-12-01 18:53:53,MDM-PQR-35447162,querer validar,0
2023-01-12 15:40:44,MDM-PQR-36270205,consulta cortado,0
2023-01-27 19:22:15,MDM-PQR-36643577,validar informacion incremento anual,1
2023-02-23 15:20:26,MDM-PQR-37292776,hora telefono dirar descripcion habia pedido directv tv poder usar hacer intentar cancelar directv estar cobrar factura,0
2023-02-06 18:53:55,MDM-PQR-36905496,informacion facturacion,0
2023-02-16 15:36:14,MDM-PQR-37134717,solicitar concepto facturar,1
2023-02-27 17:50:39,MDM-PQR-37374165,solicitar informacion descuento,1
2022-12-27 11:20:46,MDM-PQR-35907796,suave suave factura,0
2023-02-03 12:26:50,MDM-PQR-36829306,informacion factura incremento,1
2023-01-23 11:22:57,MDM-PQR-36498465,genero u pago facturacion correspondiente desear validar aumento,1
2023-02-07 11:08:47,MDM-PQR-36918994,validar costo factura siguiente,1
2022-12-27 13:26:42,MDM-PQR-35912004,requerir duplicado factura,0
2022-12-04 15:43:24,MDM-PQR-35495838,informar llego factura deber estar cobrar nuevamente clausular permanencia habia exonerado,0
2022-12-16 07:10:13,MDM-PQR-35716679,factura,0
2023-01-25 13:48:53,MDM-PQR-36564498,validar cobro factura,0
2023-02-02 09:53:21,MDM-PQR-36787028,falta uso tv,1
2023-02-13 11:43:07,MDM-PQR-37051480,requerir duplicado factura,0
2023-01-13 06:43:20,MDM-PQR-36279793,solicitar informacion realacer pago,1
2023-01-27 17:41:26,MDM-PQR-36640933,informar sirvio tv,0
2023-02-03 18:29:40,MDM-PQR-36842223,acerca manifestar informacion concepto facturar diar,0
2023-02-13 15:29:29,MDM-PQR-37059896,informacion factura,0
2023-02-02 17:31:52,MDM-PQR-36807902,validar concepto factura algun incremento,0
2022-12-07 09:58:41,MDM-PQR-35558507,solicitar informacion facturacion,0
2023-01-31 14:48:14,MDM-PQR-36733131,desear verificar factura,1
2022-12-07 08:35:49,MDM-PQR-35556341,factura llego,0
2023-02-15 17:38:11,MDM-PQR-37114006,cobro factura,0
2023-01-31 16:55:42,MDM-PQR-36737761,maricellivecom factura,0
2022-12-01 11:08:42,MDM-PQR-35432423,validar factura tenia saldo favor estar cobrar reconexion,1
2023-01-24 09:53:31,MDM-PQR-36527441,n ataque fijo dirar querer saber factura tanto cara,1
2022-12-22 12:02:13,MDM-PQR-35831469,factura llego plan,0
2022-12-23 08:46:21,MDM-PQR-35845866,rodrigu solicitar saber proque llego factura tanto,0
2023-02-23 16:29:01,MDM-PQR-37295302,solicitar informacion cerca factura indicar concepto facturar responder,1
2023-01-17 11:54:55,MDM-PQR-36365734,concepto factura,1
2022-12-26 13:20:41,MDM-PQR-35885941,incremento anual tarifa,0
2022-12-29 11:54:21,MDM-PQR-35960179,qe  solicitar informacion factura,0
2023-01-19 07:55:08,MDM-PQR-36409208,desear saber cobro factura brindar informacion,1
2023-02-16 15:09:59,MDM-PQR-37133851,querer saber llego tanto,0
2022-12-13 13:54:06,MDM-PQR-35663275,validar concepto facturar factura incremento,1
2023-01-26 18:18:22,MDM-PQR-36607415,consulta ah llegar factura,0
2022-12-05 12:18:47,MDM-PQR-35510047,inconformidad factura cancelacion bomar parar desear saber descuento descuento tarifa pleno,1
2023-02-27 14:52:06,MDM-PQR-37367917,factura elevado,0
2023-02-09 12:32:25,MDM-PQR-36977223,nom tomar movil asunto facturacion,0
2023-02-27 10:17:20,MDM-PQR-37357092,rrsstw linaaco pagar suponer habia quedado,1
2022-12-05 16:06:51,MDM-PQR-35518098,factura llego costoso querer validar plan economico,0
2022-12-12 17:28:47,MDM-PQR-35645484,concepto facturar,1
2023-01-20 08:41:15,MDM-PQR-36435294,informar aplicar descuento oferta,0
2023-01-31 15:21:16,MDM-PQR-36734239,facturacion,0
2023-02-18 12:07:21,MDM-PQR-37173027,factura,1
2023-02-02 17:43:04,MDM-PQR-36808368,siquera concepto factura,1
2023-02-24 11:13:38,MDM-PQR-37309422,subir factura dijeir dentro ano subir,1
2023-02-21 07:18:23,MDM-PQR-37218043,facturacion incremento explicar regulacion retirar ofrecer retirar pagar factura aplicar partir proxima facturacion,1
2023-02-18 12:12:19,MDM-PQR-37173197,cancelo rostro ano pasado llego mensaje indicar estar acto,1
2022-12-19 12:04:25,MDM-PQR-35762459,exonerar cobro factura error salvo retomar asesoramiento cerrar caso gestionado escrito deber garantizar cerrar ciclo justificacion penalizacion ajustado front incluido ajuste incluido diferencia ajuste correcto,0
2023-01-04 08:04:37,MDM-PQR-36078519,concepto facturar,1
2022-12-15 09:47:11,MDM-PQR-35699161,comunicado reclamar tele presento costo bajo volvio,1
2023-02-01 14:39:31,MDM-PQR-36764019,veloz colmena nenitar saber llegar mensaje cobro,0
2023-01-27 13:45:46,MDM-PQR-36632251,factura pagaste correspondio saldo pendiente pago generar despues fecha factura llego llego debido generar cobro mas asesor ajusto factura dejar correspondiente costo diar,0
2023-01-10 12:22:43,MDM-PQR-36205736,facturacion elevado,0
2022-12-27 10:48:43,MDM-PQR-35906710,solicitar confirmar si alguno deuda estar llamar cobrar,0
2023-02-24 10:17:09,MDM-PQR-37307332,acerca solicitar informacion concepto facturar,1
2022-12-10 13:15:06,MDM-PQR-35611162,caido factura elevado,0
2022-12-27 09:54:13,MDM-PQR-35904671,visita,0
2023-02-06 22:04:08,MDM-PQR-36908912,factura,1
2023-02-21 08:21:30,MDM-PQR-37219257,solicitar ajuste factura bajo solicitar retirar sva hbo sva paramount asesoramiento cerrar caso poner evidenciar sva hbo sva paramount retirado evidenciar diar solicitud retirar sva justificacion penalizacion ajuste ajustado front incluido ajuste incluido diferencia ajuste correcto,0
2023-02-04 12:19:33,MDM-PQR-36855656,factura prorrateo factura,1
2023-01-12 10:53:59,MDM-PQR-36260468,llegar factura fisico decir qeu pago extemporaneo permitir pagar decir curso,0
2023-02-02 13:21:05,MDM-PQR-36796624,presente ano factura llego anormal desear saber incremento,0
2023-02-14 10:27:57,MDM-PQR-37076094,cumplio clausular desear saber si fact pendiente pagar,0
2023-02-05 17:37:14,MDM-PQR-36875704,leido factura incremento,1
2022-12-01 12:10:59,MDM-PQR-35434872,estar llegar mensaje texto,1
2022-12-04 17:23:46,MDM-PQR-35496662,solicitar informacion facturacion,0
2022-12-10 09:55:29,MDM-PQR-35606649,brindar informacion,1
2023-01-02 20:26:03,MDM-PQR-36041857,m variar factura llegar pasado fecha pago,0
2023-01-24 06:57:33,MDM-PQR-36522547,validacion factura,0
2022-12-01 08:42:39,MDM-PQR-35427055,validar factura llego genero pago,1
2023-01-26 10:43:09,MDM-PQR-36588528,acerca solicitar brinde informacion factura llego costoso hacer validacion suspendido pago poder aplicar descuento diar,1
2023-01-26 21:49:18,MDM-PQR-36612920,rodrigu realizar verificacion factura,0
2023-02-22 19:03:04,MDM-PQR-37274510,factura cancelacion,0
2023-01-13 14:24:48,MDM-PQR-36293014,aplico descuento,0
2022-12-14 10:18:05,MDM-PQR-35678861,deacuerdir factura,1
2023-01-23 09:22:10,MDM-PQR-36493251,solicitar informacion factura,1
2023-01-27 11:36:23,MDM-PQR-36626054,pago factura nunca solicitar,1
2022-12-14 19:21:45,MDM-PQR-35693566,factura llegar querer saber duir m hoy v am incremento manera adicional carguir reconexion pago,1
2023-01-26 16:16:38,MDM-PQR-36603352,ariir ariir marriage dirar informacion facturacion pagar mil siguiente mil ahora llego tambien ahora,1
2023-01-23 18:20:48,MDM-PQR-36515337,usuaria acuerdo cobro reconexion cobrar,1
2023-01-19 15:48:38,MDM-PQR-36425553,informacion factura,0
2023-01-12 14:07:56,MDM-PQR-36267265,validar promocion brindo,0
2022-12-20 09:57:19,MDM-PQR-35781619,concepto facturar,0
2023-01-03 11:02:29,MDM-PQR-36053996,indicar brindo informacion aumento factura,0
2023-01-28 15:27:18,MDM-PQR-36660357,validar llegar mensaje cobro mas reconocer,1
2023-01-22 11:17:32,MDM-PQR-36480624,especial m buen problema ano pasado vender cancelo aunque ayudado varios vez cancelacion seguir cobrar paso ver si poder ayudar cobrer mas ser posible poner pagado mas m cuestion,1
2023-02-02 14:50:56,MDM-PQR-36800842,comentar presentar fallo elevado visita diar manan,0
2023-02-01 12:52:28,MDM-PQR-36759767,dirar observacion desear informacion factura,0
2022-12-22 16:58:06,MDM-PQR-35838751,livian oa potrillo realizar validar reconexion,0
2023-02-07 11:13:09,MDM-PQR-36919160,solicitar informacion aumento factura informacion incremento ley,1
2023-02-03 09:30:37,MDM-PQR-36821512,consulta factura,1
